section;item_type;scene_no;scene_title;context;prompt;option_no;option_text;style;weight;comment;profile_id;profile_title;profile_part;profile_text;cta_block;cta_field;cta_text;editor_comment
simulator;option;1;Разговор с руководителем;Вы закрыли задачу в срок, но на общем созвоне руководитель говорит, что вы снова сработали «не в бизнес-логике» и подставили команду.;Руководитель: «Мне не нужен еще один технически сильный человек, который не понимает контекст бизнеса».;1;«Понял. Тогда, наверное, лучше просто скажите, как надо, и я больше не буду предлагать свои решения».;Избегающий;2;Вы снижаете напряжение ценой своей субъектности. Конфликт гасится, но ваша роль в разговоре обнуляется.;;;;;;;;
simulator;option;1;Разговор с руководителем;Вы закрыли задачу в срок, но на общем созвоне руководитель говорит, что вы снова сработали «не в бизнес-логике» и подставили команду.;Руководитель: «Мне не нужен еще один технически сильный человек, который не понимает контекст бизнеса».;2;«Это несправедливо. Я сделал ровно то, что было в постановке, и не собираюсь брать на себя чужие ошибки».;Защитный;3;Вы защищаете себя через контратаку. В моменте это дает ощущение силы, но быстро переводит разговор в борьбу.;;;;;;;;
simulator;option;1;Разговор с руководителем;Вы закрыли задачу в срок, но на общем созвоне руководитель говорит, что вы снова сработали «не в бизнес-логике» и подставили команду.;Руководитель: «Мне не нужен еще один технически сильный человек, который не понимает контекст бизнеса».;3;«Хочу понять, где именно я не попал в ожидание. Давайте разберем, что было критично для бизнеса и что мне учитывать дальше».;Зрелый;3;Вы удерживаете достоинство и переводите оценочное давление в предметный разговор о критериях.;;;;;;;;
simulator;option;1;Разговор с руководителем;Вы закрыли задачу в срок, но на общем созвоне руководитель говорит, что вы снова сработали «не в бизнес-логике» и подставили команду.;Руководитель: «Мне не нужен еще один технически сильный человек, который не понимает контекст бизнеса».;4;«Согласен, я не всегда вижу картину целиком. Могу после созвона коротко сверяться с вами по рисковым решениям».;Зрелый;2;Вы принимаете часть ответственности без самоуничижения и предлагаете рабочий формат на будущее.;;;;;;;;
simulator;option;2;Сложный разговор с коллегой;Коллега регулярно задерживает свою часть работы, а сроки проекта сдвигаются. В чатах он отвечает уклончиво, и команда уже раздражена.;Коллега: «Не драматизируй. Я и так работаю на пределе, просто сейчас не до твоих приоритетов».;1;«Окей, тогда я сам подстроюсь. Видимо, сейчас нет смысла это обсуждать».;Избегающий;2;Вы уходите из напряжения, но проблема остается без рамки и почти наверняка повторится.;;;;;;;;
simulator;option;2;Сложный разговор с коллегой;Коллега регулярно задерживает свою часть работы, а сроки проекта сдвигаются. В чатах он отвечает уклончиво, и команда уже раздражена.;Коллега: «Не драматизируй. Я и так работаю на пределе, просто сейчас не до твоих приоритетов».;2;«Удобно. Ты всегда так говоришь, когда срываешь сроки, а потом остальные разгребают».;Защитный;3;Вы называете правду, но в обвинительной форме. Шанс на сотрудничество резко падает.;;;;;;;;
simulator;option;2;Сложный разговор с коллегой;Коллега регулярно задерживает свою часть работы, а сроки проекта сдвигаются. В чатах он отвечает уклончиво, и команда уже раздражена.;Коллега: «Не драматизируй. Я и так работаю на пределе, просто сейчас не до твоих приоритетов».;3;«Я слышу, что у тебя перегруз. Но для меня важно понять, на что реально можно рассчитывать и когда».;Зрелый;3;Вы признаете состояние другого, не отдавая собственные рабочие интересы.;;;;;;;;
simulator;option;2;Сложный разговор с коллегой;Коллега регулярно задерживает свою часть работы, а сроки проекта сдвигаются. В чатах он отвечает уклончиво, и команда уже раздражена.;Коллега: «Не драматизируй. Я и так работаю на пределе, просто сейчас не до твоих приоритетов».;4;«Если срок снова сдвигается, мне нужно заранее это знать. Тогда я смогу перестроить свою часть и не провалить общий дедлайн».;Зрелый;2;Вы не спорите о правоте, а возвращаете разговор к последствиям и договоренностям.;;;;;;;;
simulator;option;3;Обратная связь сотруднику;Вы ведете маленькую команду. Один из сотрудников силен технически, но на встречах говорит резко и демотивирует коллег.;Сотрудник: «Если люди обижаются на прямоту, это не моя проблема. Я просто говорю как есть».;1;«Ладно, давай просто пока не будем поднимать это на общих встречах».;Избегающий;2;Вы снижаете трение, но не работаете с поведением. Цена такого мира потом обычно выше.;;;;;;;;
simulator;option;3;Обратная связь сотруднику;Вы ведете маленькую команду. Один из сотрудников силен технически, но на встречах говорит резко и демотивирует коллег.;Сотрудник: «Если люди обижаются на прямоту, это не моя проблема. Я просто говорю как есть».;2;«Вообще-то это уже твоя проблема, потому что команда устала от твоего тона».;Защитный;2;Вы пытаетесь поставить границу, но через стыжение. Это усиливает сопротивление.;;;;;;;;
